"Name","BD","Num","Pos","Team","GP","G","A","PTS","Pts/G","PPG"
"Artur Cholach","Jun  6, 2003",91,"D","Barrie Colts",33,3,10,13,0.39,1
"Matthew Mayich","Dec 21, 2004",22,"D","Ottawa 67's",39,3,10,13,0.33,0
"Thomas Budnick","Feb 14, 2004",24,"D","Kingston Frontenacs",41,3,10,13,0.32,0
"Jakub Chromiak","Nov  2, 2005",7,"D","Sudbury Wolves",35,3,9,12,0.34,0
"Thomas Stewart","Jan  6, 2003",3,"D","Oshawa Generals",40,3,9,12,0.3,0
"Braeden O'Keefe","Jun  8, 2005",42,"C","Hamilton Bulldogs",39,3,8,11,0.28,1
"Braden Haché (total)","May 21, 2003",6,"D","Barrie Colts",42,3,8,11,0.26,1
"Ryan McGuire","Feb 29, 2004",12,"C","Guelph Storm",37,3,7,10,0.27,0
"PJ Forgione","Nov 12, 2004",27,"D","Saginaw Spirit",27,3,6,9,0.33,0
"Alex Kostov","Jun  3, 2006",17,"RW","Soo Greyhounds",33,3,6,9,0.27,0
"Jett Luchanko","Aug 21, 2006",7,"RW","Guelph Storm",33,3,6,9,0.27,0
"Matthew Virgilio","Mar 24, 2006",25,"RD","Soo Greyhounds",37,3,5,8,0.22,1
"Lucas Karmiris","Sep 27, 2006",27,"C","Mississauga Steelheads",38,3,5,8,0.21,0
"Ryder McIntyre (total)","Jul 15, 2004",72,"RW","Oshawa Generals",39,3,5,8,0.21,0
"Chandler Romeo (total)","Jul 16, 2003",17,"D","Guelph Storm",29,3,4,7,0.24,0
"Ben Bujold (total)","Mar  3, 2004",89,"C","Hamilton Bulldogs",30,3,4,7,0.23,0
"Nolan Dillingham","Jun 22, 2002",18,"D","Sarnia Sting",21,3,3,6,0.29,0
"Caden Kelly","Jan 15, 2006",28,"RW","Ottawa 67's",34,3,3,6,0.18,0
"Jacob Julien","Sep 12, 2004",74,"LW","London Knights",18,3,2,5,0.28,0
"Ethan Quick (total)","Jan 27, 2005",16,"RW","Barrie Colts",25,3,2,5,0.2,0
"Jacob Therrien","Feb  8, 2006",6,"RW","North Bay Battalion",33,3,2,5,0.15,0
"Mason Zebeski","Oct  4, 2005",19,"LW","Mississauga Steelheads",43,3,2,5,0.12,0
"Gage Heyes","Apr 21, 2004",9,"RW","Kingston Frontenacs",22,3,1,4,0.18,1
"Lincoln Moore","Sep 21, 2005",18,"RW","Saginaw Spirit",28,3,0,3,0.11,0
"Lucas Moore","Jun  7, 2005",4,"D","Hamilton Bulldogs",42,2,20,22,0.52,1
"Roman Schmidt","Feb 27, 2003",27,"D","Kitchener Rangers",37,2,14,16,0.43,0
"Ryan Mast","Jan 14, 2003",3,"D","Sarnia Sting",25,2,11,13,0.52,0
"Tomáš Hamara","Mar  9, 2004",9,"D","Kitchener Rangers",31,2,10,12,0.39,1
"Caeden Carlisle","Jan 31, 2004",7,"LD","Soo Greyhounds",37,2,10,12,0.32,0
"Brayden Hislop (total)","Sep 26, 2003",3,"D","North Bay Battalion",45,2,10,12,0.27,0
"Davis Codd","Aug 19, 2003",43,"RW","Saginaw Spirit",20,2,9,11,0.55,0
"Jack Dever","Sep  5, 2005",18,"RW","Ottawa 67's",25,2,9,11,0.44,1
"Alexis Daviault (total)","Jun 17, 2005",72,"D","Erie Otters",44,2,9,11,0.25,0
"Noah Van Vliet","Feb 18, 2004",5,"D","Hamilton Bulldogs",35,2,8,10,0.29,0
"Marek Vanacker","Apr 12, 2006",78,"LW","Hamilton Bulldogs",37,2,7,9,0.24,0
"Alex Bradshaw","Mar 16, 2004",16,"LW","Flint Firebirds",39,2,7,9,0.23,0
"Parker Von Richter","May 17, 2006",6,"RD","Mississauga Steelheads",42,2,7,9,0.21,0
"Frankie Marrelli","Feb 16, 2006",8,"D","Ottawa 67's",26,2,6,8,0.31,0
"Alec Belanger","May 29, 2002",58,"D","Kingston Frontenacs",17,2,5,7,0.41,1
"Teddy Sawyer (total)","Dec 12, 2003",3,"D","Owen Sound Attack",27,2,5,7,0.26,0
"Finn Harding","Mar  2, 2005",7,"RD","Mississauga Steelheads",38,2,5,7,0.18,0
"Bronson Ride (total)","Jan 14, 2005",10,"D","Niagara IceDogs",43,2,5,7,0.16,0
"Artem Guryev (total)","May 17, 2003",82,"D","Flint Firebirds",27,2,4,6,0.22,0
"Mathieu Paris","Jan  1, 2005",57,"C","London Knights",29,2,4,6,0.21,0
"Mitchell Brooks","Mar 23, 2005",26,"LW","Kingston Frontenacs",30,2,4,6,0.2,0
"Christopher Brown","Jan 27, 2006",19,"C","Soo Greyhounds",37,2,4,6,0.16,1
"Thomas Chafe","Apr 19, 2005",34,"RW","Owen Sound Attack",37,2,4,6,0.16,0
"Nathan Sauder","Feb  1, 2005",5,"D","Erie Otters",38,2,4,6,0.16,0
"Wyatt Kennedy","May 27, 2005",2,"D","North Bay Battalion",43,2,4,6,0.14,0
"Nathan Poole","Jul 28, 2004",28,"C","Kingston Frontenacs",13,2,3,5,0.38,0
"Ian Lemieux (total)","Feb 13, 2002",14,"D","Kingston Frontenacs",14,2,3,5,0.36,0
"Ethan MacKinnon","May 22, 2003",17,"D","London Knights",25,2,3,5,0.2,0
"Brian Zanetti","Mar 15, 2003",9,"D","Peterborough Petes",27,2,3,5,0.19,0
"Marko Stojkov","Aug 11, 2004",95,"D","Flint Firebirds",28,2,3,5,0.18,0
"Owen Pitters","Aug 28, 2005",91,"C","Flint Firebirds",32,2,3,5,0.16,0
"Adrian Rebelo","Jun 22, 2004",74,"LW","Hamilton Bulldogs",41,2,3,5,0.12,0
"Ethan Montroy","Aug 30, 2005",11,"LW","Soo Greyhounds",19,2,2,4,0.21,0
"Lukas Fischer","Sep  9, 2006",13,"D","Sarnia Sting",20,2,2,4,0.2,0
"Liam Storch","Jan 20, 2006",21,"RW","Saginaw Spirit",27,2,2,4,0.15,0
"Carter Lowe","Mar  1, 2006",5,"LW","Barrie Colts",22,2,1,3,0.14,0
"Noah Nelson","Mar 28, 2005",11,"C","Hamilton Bulldogs",32,2,1,3,0.09,0
"Gavin Ewles","Mar  1, 2005",26,"D","Ottawa 67's",33,2,1,3,0.09,0
"Olivier Savard","Jan 14, 2005",11,"D","Saginaw Spirit",36,2,1,3,0.08,0
"Chase Coughlan (total)","Jun 17, 2005",9,"RW","Sudbury Wolves",13,2,0,2,0.15,0
"Kimo Gruber","Apr 11, 2005",23,"RW","Oshawa Generals",25,2,0,2,0.08,0
"Thomas Johnston (total)","Jul  4, 2003",91,"LW","Windsor Spitfires",19,2,4,6,0.32,1
"Devin Mauro","Jun  6, 2004",23,"LW","Sudbury Wolves",23,2,1,3,0.13,0
"Quinton Burns","Apr 14, 2005",41,"D","Kingston Frontenacs",36,1,20,21,0.58,1
"David Jesus","May 30, 2002",25,"D","Niagara IceDogs",40,1,18,19,0.48,0
"Nicholas DeAngelis","May 22, 2004",22,"D","Windsor Spitfires",42,1,17,18,0.43,0
"Paul Christopoulos","Mar 26, 2003",4,"D","North Bay Battalion",43,1,14,15,0.35,0
"Jacob LeBlanc","Jun  3, 2004",4,"D","Niagara IceDogs",38,1,13,14,0.37,0
"James Petrovski (total)","Aug 12, 2005",28,"D","Owen Sound Attack",41,1,13,14,0.34,0
"Donovan McCoy","Nov 10, 2004",19,"D","Peterborough Petes",43,1,10,11,0.26,0
"Konnor Smith","Nov  6, 2004",6,"D","Peterborough Petes",40,1,9,10,0.25,0
"Cal Uens (total)","Feb 11, 2005",44,"D","Kingston Frontenacs",42,1,9,10,0.24,0
"Payton Robinson","Apr 30, 2003",6,"D","Guelph Storm",43,1,9,10,0.23,1
"James Jodoin","Feb  4, 2003",77,"D","Windsor Spitfires",32,1,8,9,0.28,0
"Ben Roger","Nov  3, 2002",55,"D","Kingston Frontenacs",32,1,8,9,0.28,0
"Ben Danford","Feb  6, 2006",77,"D","Oshawa Generals",37,1,8,9,0.24,0
"Cameron Morton","Apr 17, 2002",53,"D","Erie Otters",40,1,8,9,0.23,0
"Ondrej Molnar","Feb  8, 2005",96,"LW","Erie Otters",13,1,7,8,0.62,0
"James Guo (total)","May  2, 2005",17,"D","Saginaw Spirit",34,1,7,8,0.24,0
"Michael Podolioukh (total)","Nov 28, 2004",28,"C","Niagara IceDogs",34,1,7,8,0.24,0
"Daniil Sobolev","Mar  3, 2003",10,"D","Windsor Spitfires",38,1,7,8,0.21,0
"Adrian Misaljevic","Jul 10, 2004",10,"LW","Kitchener Rangers",38,1,6,7,0.18,0
"Alec Leonard (total)","May 13, 2004",27,"D","London Knights",40,1,6,7,0.18,0
"Avery Winslow","Aug 24, 2002",8,"D","North Bay Battalion",17,1,5,6,0.35,0
"Madden Steen","May 18, 2004",5,"D","Owen Sound Attack",33,1,5,6,0.18,0
"Nathan Ribau","Apr  7, 2002",44,"D","Niagara IceDogs",37,1,5,6,0.16,0
"Josh Kavanagh","May  6, 2003",37,"D","Barrie Colts",39,1,5,6,0.15,0
"Chase Lefebvre","May 13, 2004",25,"C","Peterborough Petes",27,1,4,5,0.19,0
"Nikita Parfenyuk","Sep  9, 2003",20,"D","Oshawa Generals",37,1,4,5,0.14,0
"Valdemar William Hull (total)","Jan  2, 2005",29,"LW","Niagara IceDogs",39,1,4,5,0.13,0
"Dylan Gordon","Aug 13, 2004",13,"LD","Mississauga Steelheads",17,1,3,4,0.24,0
"Gavin Grundner","May 12, 2004",16,"LW","Guelph Storm",30,1,3,4,0.13,1
"Connor Toms","Mar 13, 2004",20,"LD","Soo Greyhounds",30,1,3,4,0.13,0
"Dylan Edwards","Jul 20, 2005",11,"C","Erie Otters",32,1,3,4,0.13,0
"Blake Smith (total)","Oct  5, 2004",5,"D","Flint Firebirds",38,1,3,4,0.11,0
"Maleek McGowan","Jun 13, 2005",11,"D","Kingston Frontenacs",17,1,2,3,0.18,0
"Luc Brzustowski (total)","Feb 15, 2003",20,"D","North Bay Battalion",20,1,2,3,0.15,0
"Landon Cato","Mar 31, 2003",2,"D","Niagara IceDogs",20,1,2,3,0.15,0
"Ty Petrou (total)","May 10, 2004",8,"C","Oshawa Generals",23,1,2,3,0.13,0
"Luca Testa (total)","Apr 10, 2006",91,"C","Hamilton Bulldogs",25,1,2,3,0.12,0
"Connor Federkow","Jul 26, 2003",28,"D","London Knights",30,1,2,3,0.1,0
"Isaac Enright (total)","Feb  8, 2003",24,"RD","Guelph Storm",31,1,2,3,0.1,0
"Duncan Schneider","Jul  5, 2005",23,"D","Kingston Frontenacs",31,1,2,3,0.1,0
"Artyom Kulakov","Feb 14, 2003",88,"D","Erie Otters",33,1,2,3,0.09,0
"Connor Clattenburg","May  2, 2005",23,"LW","Soo Greyhounds",35,1,2,3,0.09,0
"Brenden Anderson (total)","Mar  4, 2003",71,"LW","Sarnia Sting",36,1,2,3,0.08,0
"Zackary Sandhu","Dec 20, 2005",2,"D","Guelph Storm",36,1,2,3,0.08,0
"MacGregor Richmond","Aug  6, 2006",78,"RW","Mississauga Steelheads",8,1,1,2,0.25,0
"William Eggleton","Feb 19, 2006",18,"LW","Mississauga Steelheads",10,1,1,2,0.2,0
"Joshua Hoover","Feb 15, 2004",2,"D","Sarnia Sting",13,1,1,2,0.15,0
"Reed Gee","Mar 12, 2006",6,"D","Flint Firebirds",14,1,1,2,0.14,0
"Hunter McKnight","Jan 16, 2006",29,"C","Guelph Storm",21,1,1,2,0.1,0
"Daks Klinkhammer","Aug 14, 2005",73,"LW","Flint Firebirds",24,1,1,2,0.08,0
"Quinton Pagé","Aug  3, 2005",14,"LW","Peterborough Petes",24,1,1,2,0.08,0
"Cameron Mercer","May 27, 2005",14,"C","Kitchener Rangers",25,1,1,2,0.08,0
"George Alboim","Mar 15, 2005",14,"D","Erie Otters",30,1,0,1,0.03,0
"Ben Cormier","Jul 20, 2006",8,"C","Owen Sound Attack",30,1,0,1,0.03,0
"Jake Uberti","Mar  7, 2002",86,"RW","Mississauga Steelheads",12,1,6,7,0.58,1
"Josh Currie (total)","Jul  1, 2002",71,"LW","Kingston Frontenacs",19,1,5,6,0.32,1
"Niko Minkkinen","Nov 10, 2004",25,"D","Guelph Storm",13,1,3,4,0.31,0
"Tomas Hebek","Feb 12, 2004",82,"D","Windsor Spitfires",28,1,2,3,0.11,0
"Samuel Assinewai","Apr 16, 2004",28,"LW","Flint Firebirds",6,1,1,2,0.33,0
"Vann Williamson","Jul 14, 2006",27,"D","Kingston Frontenacs",10,1,1,2,0.2,0
"Bryce Montgomery","Nov 12, 2002",58,"D","London Knights",2,1,0,1,0.5,1
"Ethan Martin","Mar 25, 2005",72,"C","Windsor Spitfires",10,1,0,1,0.1,0
"Jackson McLlwain","May 20, 2003",17,"LW","Windsor Spitfires",17,1,0,1,0.06,0
"Steven Laforme","Feb  7, 2003",4,"C","Ottawa 67's",19,1,0,1,0.05,0
"Matthew Andonovski","Mar 14, 2005",5,"D","Kitchener Rangers",39,0,9,9,0.23,0
"Taos Jordan","Mar 29, 2004",24,"D","Owen Sound Attack",42,0,7,7,0.17,0
"Derek Smyth","Apr 17, 2004",2,"D","Ottawa 67's",22,0,6,6,0.27,0
"Ryan Thompson","Oct 10, 2002",3,"RD","Soo Greyhounds",38,0,6,6,0.16,0
"Grayson Tiller","Feb 20, 2005",8,"D","Barrie Colts",33,0,5,5,0.15,0
"Cam Gauvreau (total)","Mar  8, 2003",3,"D","Peterborough Petes",34,0,5,5,0.15,0
"Ryan Vannetten","Mar 30, 2004",13,"D","Niagara IceDogs",37,0,4,4,0.11,0
"Tyler Graham","Aug 10, 2006",28,"RW","Oshawa Generals",22,0,3,3,0.14,0
"Owain Johnston","Oct 19, 2003",7,"D","Erie Otters",22,0,3,3,0.14,0
"Ty Hollett","Aug 27, 2003",74,"D","Kitchener Rangers",27,0,3,3,0.11,0
"Masen Wray","May 15, 2006",17,"C","Hamilton Bulldogs",29,0,3,3,0.1,0
"Nicholas Yearwood (total)","Jul 15, 2004",18,"LW","Sudbury Wolves",29,0,3,3,0.1,0
"Kyle Morey","Jun 27, 2005",23,"C","Kitchener Rangers",30,0,3,3,0.1,0
"Shawn Spearing","Jul 26, 2002",7,"D","Peterborough Petes",31,0,3,3,0.1,0
"Nate Krawchuk","Jul  4, 2005",30,"G","Sudbury Wolves",11,0,2,2,0.18,0
"Will Bishop","Mar 17, 2005",5,"D","Sudbury Wolves",14,0,2,2,0.14,0
"Ian Phillips","Jul  3, 2003",73,"LW","Saginaw Spirit",15,0,2,2,0.13,0
"Mitch Young","Apr 29, 2005",5,"D","Sarnia Sting",15,0,2,2,0.13,0
"Corbin Votary","Apr 12, 2004",30,"G","Owen Sound Attack",22,0,2,2,0.09,0
"Joey Costanzo","Jul 26, 2005",33,"G","Windsor Spitfires",24,0,2,2,0.08,0
"Antonio Tersigni","May  3, 2006",37,"C","Owen Sound Attack",28,0,2,2,0.07,0
"Evan Klein","Jan 12, 2004",57,"LW","Niagara IceDogs",29,0,2,2,0.07,0
"Max Donoso","Jun 11, 2003",35,"G","Ottawa 67's",31,0,2,2,0.06,0
"Samuel Ivanov","Jan  2, 2003",33,"G","Soo Greyhounds",31,0,2,2,0.06,0
"Antonino Pugliese","Apr  9, 2004",44,"RW","Kitchener Rangers",32,0,2,2,0.06,0
"Carter George","May 20, 2006",32,"G","Owen Sound Attack",4,0,1,1,0.25,0
"Braydon McCallum","May  3, 2006",15,"C","Peterborough Petes",4,0,1,1,0.25,0
"William Haley","Oct 15, 2005",71,"LD","Mississauga Steelheads",5,0,1,1,0.2,0
"Andrew Wycisk","Jul  1, 2005",75,"D","Niagara IceDogs",6,0,1,1,0.17,0
"Noah VandenBrink","Jan  6, 2005",12,"RW","Hamilton Bulldogs",8,0,1,1,0.13,0
"Callum Cheynowski","Aug  4, 2006",71,"D","Hamilton Bulldogs",9,0,1,1,0.11,0
"Andrew Oke","Mar 26, 2004",29,"G","Saginaw Spirit",11,0,1,1,0.09,0
"Liam Sztuska","May  1, 2004",1,"G","Peterborough Petes",11,0,1,1,0.09,0
"Zach Bowen","Apr 25, 2005",31,"G","London Knights",12,0,1,1,0.08,0
"Charlie Robertson","Apr  2, 2005",32,"G","North Bay Battalion",14,0,1,1,0.07,0
"Marcus Vandenberg","Apr 25, 2004",41,"G","Kitchener Rangers",14,0,1,1,0.07,0
"Mason Vaccari","Apr 29, 2005",1,"G","Kingston Frontenacs",16,0,1,1,0.06,0
"Kyle Downey (total)","Mar  4, 2004",80,"G","Erie Otters",17,0,1,1,0.06,0
"Nathan Aspinall","Mar 30, 2006",76,"LW","Flint Firebirds",18,0,1,1,0.06,0
"Bode Stewart","Feb  9, 2006",71,"LW","Saginaw Spirit",19,0,1,1,0.05,0
"Kashawn Aitcheson","Sep 21, 2006",74,"D","Barrie Colts",20,0,1,1,0.05,0
"Daylen Moses","Jun 13, 2005",12,"C","Soo Greyhounds",21,0,1,1,0.05,0
"Matthew Buckley","Mar 21, 2005",11,"RW","Oshawa Generals",22,0,1,1,0.05,0
"Sam McCue","Oct  3, 2005",12,"LW","Peterborough Petes",22,0,1,1,0.05,0
"Braedyn Rogers","Nov 22, 2006",2,"D","Owen Sound Attack",22,0,1,1,0.05,0
"Alessio Beglieri","Jan  5, 2004",29,"G","Mississauga Steelheads",23,0,1,1,0.04,0
"Nick Chenard","Mar 29, 2002",31,"G","Owen Sound Attack",23,0,1,1,0.04,0
"Ryerson Leenders","Jun  1, 2006",31,"G","Mississauga Steelheads",23,0,1,1,0.04,0
"Matthew Jenken","Oct 12, 2005",27,"D","Flint Firebirds",24,0,1,1,0.04,0
"Noah Roberts","Dec  2, 2005",7,"D","Hamilton Bulldogs",24,0,1,1,0.04,0
"Justin Bottineau","Jan 11, 2006",77,"C","Kitchener Rangers",25,0,1,1,0.04,0
"Anson Thornton","Jun 28, 2003",33,"G","Barrie Colts",26,0,1,1,0.04,0
"Benjamin Gaudreau","Jan 11, 2003",70,"G","Sarnia Sting",27,0,1,1,0.04,0
"David Bedkowski","Dec  7, 2006",7,"D","Oshawa Generals",28,0,1,1,0.04,0
"Ryan Struthers","Jan  2, 2004",16,"C","Mississauga Steelheads",28,0,1,1,0.04,0
"Brayden Turley","Aug  8, 2006",7,"D","North Bay Battalion",29,0,1,1,0.03,0
"Tristan Lennox","Oct 21, 2002",30,"G","Saginaw Spirit",30,0,1,1,0.03,0
"Owen MacDonald","Aug 28, 2004",6,"D","Sarnia Sting",30,0,1,1,0.03,0
"Brett Brochu","Sep  9, 2002",30,"G","London Knights",31,0,1,1,0.03,0
"Ranvir Gill-Shane (total)","Jun 17, 2003",72,"D","Hamilton Bulldogs",32,0,1,1,0.03,0
"Patrick Leaver (total)","Sep  4, 2003",1,"G","Guelph Storm",32,0,1,1,0.03,0
"Wylie Birkett","Mar  5, 2004",2,"LW","Windsor Spitfires",1,0,0,0,0,0
"Charlie Burns","Jan 29, 2006",33,"G","Niagara IceDogs",1,0,0,0,0,0
"David Egorov","May 18, 2006",31,"G","Hamilton Bulldogs",1,0,0,0,0,0
"Sam Hillebrandt (total)","Feb 21, 2005",30,"G","Barrie Colts",1,0,0,0,0,0
"Ethan Kowatsch","May 25, 2005",32,"G","Guelph Storm",1,0,0,0,0,0
"Carson Lloyd","Dec  8, 2005",21,"D","Hamilton Bulldogs",1,0,0,0,0,0
"Tnias Mathurin","Jan 15, 2004",5,"D","North Bay Battalion",1,0,0,0,0,0
"Mike McIvor","Mar 22, 2006",34,"G","North Bay Battalion",1,0,0,0,0,0
"Ian Michelone","Jun 21, 2004",21,"G","Windsor Spitfires",1,0,0,0,0,0
"Lucas Rodriguez","Apr 26, 2006",26,"D","Oshawa Generals",1,0,0,0,0,0
"Landon Miller","Jan  3, 2006",36,"G","Soo Greyhounds",2,0,0,0,0,0
"Chazz Nixon","Apr  3, 2004",1,"G","Mississauga Steelheads",2,0,0,0,0,0
"Ty Henry","Jul 19, 2006",2,"D","Erie Otters",3,0,0,0,0,0
"Raine Nadeau","Aug 24, 2004",7,"D","Kingston Frontenacs",3,0,0,0,0,0
"Bradley Horner","Jun 16, 2005",5,"D","Ottawa 67's",4,0,0,0,0,0
"Cameron Lowe","Mar  4, 2004",86,"C","Erie Otters",4,0,0,0,0,0
"Ryan O'Dell","Feb 14, 2004",15,"D","Oshawa Generals",5,0,0,0,0,0
"Jackson Parsons","Nov 23, 2004",32,"G","Kitchener Rangers",5,0,0,0,0,0
"Gabriel Runco","Jan  8, 2005",74,"D","Niagara IceDogs",5,0,0,0,0,0
"William Stewart","Feb 23, 2005",20,"RW","Niagara IceDogs",5,0,0,0,0,0
"Dustin Good","Jan  1, 2005",21,"RW","Soo Greyhounds",6,0,0,0,0,0
"Alessandro Petreccia","Feb 12, 2004",22,"D","Kingston Frontenacs",6,0,0,0,0,0
"Kevyn Brassard","Jun  1, 2002",1,"G","Sudbury Wolves",7,0,0,0,0,0
"Liam Spencer","Jan 19, 2006",2,"LD","Mississauga Steelheads",7,0,0,0,0,0
"Rowan Topp","Apr  2, 2006",3,"D","Guelph Storm",7,0,0,0,0,0
"Brodie McConnell-Barker","Jan 31, 2006",2,"LD","Soo Greyhounds",8,0,0,0,0,0
"Brett Bouchard","Jan 18, 2005",23,"RW","North Bay Battalion",11,0,0,0,0,0
"Brayden Gillespie","Jul 23, 2005",31,"G","Guelph Storm",12,0,0,0,0,0
"Carter Bickle","May 27, 2004",31,"G","Oshawa Generals",14,0,0,0,0,0
"Charlie Schenkel","Aug 16, 2004",31,"G","Soo Greyhounds",14,0,0,0,0,0
"Collin MacKenzie","Nov 30, 2004",33,"G","Ottawa 67's",15,0,0,0,0,0
"Nathan Day","Feb  4, 2005",31,"G","Flint Firebirds",17,0,0,0,0,0
"Tristan Malboeuf","Mar 21, 2004",29,"G","Hamilton Bulldogs",17,0,0,0,0,0
"Ben West","Apr  4, 2003",1,"G","Barrie Colts",17,0,0,0,0,0
"Carson Campbell","Jun  8, 2006",28,"D","Sarnia Sting",19,0,0,0,0,0
"Nicholas Surzycia","Dec 17, 2004",31,"G","Sarnia Sting",19,0,0,0,0,0
"Caleb Van De Ven","Nov 24, 2004",39,"RD","Soo Greyhounds",20,0,0,0,0,0
"Josh Rosenzweig","Feb 27, 2003",34,"G","Niagara IceDogs",21,0,0,0,0,0
"Nolan Lalonde","Feb 14, 2004",79,"G","Erie Otters",23,0,0,0,0,0
"Mathias Onuska","May 30, 2002",36,"G","Windsor Spitfires",23,0,0,0,0,0
"Owen Flores","May  9, 2004",35,"G","Niagara IceDogs",24,0,0,0,0,0
"Marco Costantini (total)","Aug  4, 2002",33,"G","Kitchener Rangers",27,0,0,0,0,0
"Matteo Drobac","Aug  7, 2003",45,"G","Hamilton Bulldogs",27,0,0,0,0,0
"Quinn Binnie","Apr 29, 2004",83,"RW","Mississauga Steelheads",28,0,0,0,0,0
"Alex Messier","Mar 23, 2005",21,"LW","Erie Otters",28,0,0,0,0,0
"Jacob Oster (total)","Mar 26, 2004",38,"G","Oshawa Generals",28,0,0,0,0,0
"Ivan Zhigalov","Apr 30, 2003",30,"G","Kingston Frontenacs",29,0,0,0,0,0
"Dom DiVincentiis","Mar  4, 2004",31,"G","North Bay Battalion",30,0,0,0,0,0
"Will Cranley","Feb 26, 2002",70,"G","Flint Firebirds",31,0,0,0,0,0
"Stevie Leskovar (total)","Sep  9, 2004",4,"LD","Mississauga Steelheads",32,0,0,0,0,0
"Michael Simpson","Feb  9, 2003",31,"G","Peterborough Petes",33,0,0,0,0,0
"Austin Harper","Feb  4, 2004",24,"RW","Sarnia Sting",18,0,2,2,0.11,0
"Kaeden Johnston","Feb  3, 2005",37,"RW","London Knights",4,0,1,1,0.25,0
"Zack Terry","Apr  5, 2002",44,"D","Flint Firebirds",5,0,1,1,0.2,0
"Abakar Kazbekov","May 30, 2004",15,"C","London Knights",12,0,1,1,0.08,0
"Harrison Ballard","Apr 16, 2004",9,"C","Soo Greyhounds",20,0,1,1,0.05,0
"David Brown","Mar 19, 2005",81,"LW","Saginaw Spirit",1,0,0,0,0,0
"Carson Christy","Oct 15, 2004",92,"RW","Saginaw Spirit",1,0,0,0,0,0
"Dylan Grover","Jun 27, 2004",30,"G","Sarnia Sting",1,0,0,0,0,0
"Carson Hall","Apr 29, 2006",10,"LW","Sarnia Sting",1,0,0,0,0,0
"Blake Peters-Davey","Jun 22, 2004",24,"LW","Sudbury Wolves",1,0,0,0,0,0
"Boe Piroski (total)","Mar  4, 2004",88,"G","Flint Firebirds",1,0,0,0,0,0
"Conor Walton","Apr 22, 2006",4,"D","Sudbury Wolves",1,0,0,0,0,0
"Brett Fullerton","Jun 25, 2004",41,"G","Saginaw Spirit",2,0,0,0,0,0
"Jacob Gibbons (total)","Nov 23, 2006",32,"G","Mississauga Steelheads",2,0,0,0,0,0
"Nick Graniero","Apr 20, 2004",20,"LW","Windsor Spitfires",2,0,0,0,0,0
"Ben Pickell","Jul 20, 2005",12,"C","Barrie Colts",2,0,0,0,0,0
"Tyson Rismond","Mar 30, 2006",17,"D","North Bay Battalion",2,0,0,0,0,0
"Michael Derbidge","Apr  4, 2005",44,"LW","Sudbury Wolves",3,0,0,0,0,0
"Sam O'Reilly","Mar 30, 2006",23,"RW","London Knights",3,0,0,0,0,0
"Andrew Whitton","Oct 25, 2003",24,"RW","Oshawa Generals",3,0,0,0,0,0
"Jack Harper","Jan 14, 2002",24,"D","Kitchener Rangers",4,0,0,0,0,0
"Nicholas Holomego","May 19, 2006",65,"D","Erie Otters",4,0,0,0,0,0
"Michael Levin","Oct 16, 2005",18,"LW","London Knights",4,0,0,0,0,0
"Marshall Nicholls","Jun 13, 2003",34,"G","Erie Otters",6,0,0,0,0,0
"Ethan Toms","Jan 19, 2006",61,"C","Oshawa Generals",6,0,0,0,0,0
"Andrew Vermeulen","Feb  7, 2006",79,"RW","Niagara IceDogs",7,0,0,0,0,0
"Sean Doherty","Mar 23, 2006",98,"RW","Sarnia Sting",8,0,0,0,0,0
"Dixon Grimes","Apr  5, 2003",32,"G","Guelph Storm",9,0,0,0,0,0
"Josh Glavin","Sep 24, 2006",5,"D","Saginaw Spirit",10,0,0,0,0,0
"Blair Scott","Apr 14, 2005",7,"D","Kitchener Rangers",12,0,0,0,0,0
"Luc Schweingruber","Mar 29, 2003",10,"D","Owen Sound Attack",27,0,0,0,0,0
"Joe Ranger","Feb 12, 2002",29,"G","Sudbury Wolves",28,0,0,0,0,0
